driver_id,date,delays_minutes,behavioral_problems,violations_count,accidents_count,rating
1,2025-01-01,17,0,0,0,4.02
1,2025-01-02,5,0,0,0,4.02
1,2025-01-03,28,0,0,0,4.02
1,2025-01-04,12,0,0,0,4.02
1,2025-01-05,1,0,0,0,4.02
1,2025-01-06,28,0,0,0,4.02
1,2025-01-07,28,0,0,0,4.02
1,2025-01-08,24,0,0,0,4.02
1,2025-01-09,4,0,0,0,4.02
1,2025-01-10,23,0,0,0,4.02
1,2025-01-11,8,0,0,0,4.02
1,2025-01-12,34,0,0,0,3.82
1,2025-01-13,26,0,0,0,4.02
1,2025-01-14,15,0,0,0,4.02
1,2025-01-15,28,0,0,0,4.02
1,2025-01-16,13,0,0,0,4.02
1,2025-01-17,22,0,0,0,4.02
1,2025-01-18,26,0,0,0,4.02
1,2025-01-19,1,0,0,0,4.02
1,2025-01-20,12,0,0,0,4.02
1,2025-01-21,7,0,0,0,4.02
1,2025-01-22,17,0,0,0,4.02
1,2025-01-23,0,0,0,0,4.02
1,2025-01-24,35,0,0,0,3.77
1,2025-01-25,28,0,0,0,4.02
1,2025-01-26,12,0,0,0,4.02
1,2025-01-27,4,0,0,0,4.02
1,2025-01-28,0,0,0,0,4.02
1,2025-01-29,14,0,0,0,4.02
1,2025-01-30,4,0,0,0,4.02
1,2025-01-31,13,0,0,0,4.02
1,2025-02-01,19,0,0,0,4.02
1,2025-02-02,12,0,0,0,4.02
1,2025-02-03,19,0,0,0,4.02
1,2025-02-04,18,0,0,0,4.02
1,2025-02-05,11,0,0,0,4.02
1,2025-02-06,28,0,0,0,4.02
1,2025-02-07,27,0,0,0,4.02
1,2025-02-08,25,0,0,0,4.02
1,2025-02-09,21,0,0,0,4.02
1,2025-02-10,9,0,1,0,4.02
1,2025-02-11,2,0,0,0,4.02
1,2025-02-12,7,0,0,0,4.02
1,2025-02-13,12,0,0,0,4.02
1,2025-02-14,21,0,1,0,4.02
1,2025-02-15,23,0,0,0,4.02
1,2025-02-16,29,0,0,0,4.02
1,2025-02-17,1,0,0,0,4.02
1,2025-02-18,20,0,0,0,4.02
1,2025-02-19,16,0,0,0,4.02
1,2025-02-20,11,0,0,0,4.02
1,2025-02-21,18,0,0,0,4.02
1,2025-02-22,2,0,0,0,4.02
1,2025-02-23,0,0,0,0,4.02
1,2025-02-24,25,0,0,0,4.02
1,2025-02-25,9,0,0,0,4.02
1,2025-02-26,19,0,0,0,4.02
1,2025-02-27,23,0,0,0,4.02
1,2025-02-28,11,0,0,0,4.02
1,2025-03-01,24,0,0,0,4.02
1,2025-03-02,13,0,0,0,4.02
1,2025-03-03,13,0,0,0,4.02
1,2025-03-04,8,0,0,0,4.02
1,2025-03-05,11,0,0,0,4.02
1,2025-03-06,9,0,0,0,4.02
1,2025-03-07,20,0,1,0,4.02
1,2025-03-08,30,0,0,0,4.02
1,2025-03-09,20,0,0,0,4.02
1,2025-03-10,18,0,0,0,4.02
1,2025-03-11,10,0,0,0,4.02
1,2025-03-12,0,0,0,0,4.02
1,2025-03-13,0,0,0,0,4.02
1,2025-03-14,15,0,0,0,4.02
1,2025-03-15,19,0,0,0,4.02
1,2025-03-16,1,0,0,0,4.02
1,2025-03-17,11,0,0,0,4.02
1,2025-03-18,25,0,0,0,4.02
1,2025-03-19,34,0,0,0,3.82
1,2025-03-20,16,0,0,0,4.02
1,2025-03-21,7,0,0,0,4.02
1,2025-03-22,19,0,0,0,4.02
1,2025-03-23,9,0,0,0,4.02
1,2025-03-24,21,0,0,0,4.02
1,2025-03-25,15,0,0,0,4.02
1,2025-03-26,11,0,0,0,4.02
1,2025-03-27,17,0,0,0,4.02
1,2025-03-28,17,0,0,0,4.02
1,2025-03-29,15,0,0,0,4.02
1,2025-03-30,21,0,0,0,4.02
1,2025-03-31,22,0,0,0,4.02
2,2025-01-01,0,0,0,0,4.48
2,2025-01-02,12,0,0,0,4.48
2,2025-01-03,0,0,0,0,4.48
2,2025-01-04,0,0,0,0,4.48
2,2025-01-05,0,0,0,0,4.48
2,2025-01-06,13,0,0,0,4.48
2,2025-01-07,0,0,0,0,4.48
2,2025-01-08,15,0,0,0,4.48
2,2025-01-09,9,0,1,0,4.48
2,2025-01-10,6,0,0,0,4.48
2,2025-01-11,0,0,0,0,4.48
2,2025-01-12,0,0,0,0,4.48
2,2025-01-13,6,0,0,0,4.48
2,2025-01-14,0,0,0,0,4.48
2,2025-01-15,8,0,0,0,4.48
2,2025-01-16,2,0,0,0,4.48
2,2025-01-17,18,0,0,0,4.48
2,2025-01-18,18,0,0,0,4.48
2,2025-01-19,0,0,0,0,4.48
2,2025-01-20,0,0,0,0,4.48
2,2025-01-21,0,0,0,0,4.48
2,2025-01-22,8,0,0,0,4.48
2,2025-01-23,13,0,0,0,4.48
2,2025-01-24,0,0,0,0,4.48
2,2025-01-25,0,0,0,0,4.48
2,2025-01-26,14,0,0,0,4.48
2,2025-01-27,19,0,0,0,4.48
2,2025-01-28,3,0,0,0,4.48
2,2025-01-29,0,0,0,0,4.48
2,2025-01-30,10,0,0,0,4.48
2,2025-01-31,13,0,0,0,4.48
2,2025-02-01,0,0,0,0,4.48
2,2025-02-02,3,0,0,0,4.48
2,2025-02-03,9,0,0,0,4.48
2,2025-02-04,7,0,0,0,4.48
2,2025-02-05,11,0,0,0,4.48
2,2025-02-06,26,0,0,0,4.48
2,2025-02-07,13,0,0,0,4.48
2,2025-02-08,3,0,0,0,4.48
2,2025-02-09,17,0,0,0,4.48
2,2025-02-10,6,0,0,0,4.48
2,2025-02-11,6,1,0,0,4.48
2,2025-02-12,9,0,0,0,4.48
2,2025-02-13,12,0,0,0,4.48
2,2025-02-14,11,0,0,0,4.48
2,2025-02-15,0,1,0,0,4.48
2,2025-02-16,11,0,0,0,4.48
2,2025-02-17,0,0,0,0,4.48
2,2025-02-18,0,0,0,0,4.48
2,2025-02-19,11,0,0,0,4.48
2,2025-02-20,0,0,0,0,4.48
2,2025-02-21,6,0,0,0,4.48
2,2025-02-22,11,0,0,0,4.48
2,2025-02-23,18,0,0,0,4.48
2,2025-02-24,2,0,0,0,4.48
2,2025-02-25,5,0,0,0,4.48
2,2025-02-26,21,0,0,0,4.48
2,2025-02-27,19,0,0,0,4.48
2,2025-02-28,16,0,0,0,4.48
2,2025-03-01,19,0,0,0,4.48
2,2025-03-02,3,0,0,0,4.48
2,2025-03-03,7,0,0,0,4.48
2,2025-03-04,9,0,0,0,4.48
2,2025-03-05,11,0,0,0,4.48
2,2025-03-06,16,0,0,0,4.48
2,2025-03-07,12,0,0,0,4.48
2,2025-03-08,2,0,0,0,4.48
2,2025-03-09,14,0,0,0,4.48
2,2025-03-10,22,0,0,0,4.48
2,2025-03-11,6,0,0,0,4.48
2,2025-03-12,0,0,0,0,4.48
2,2025-03-13,0,0,0,0,4.48
2,2025-03-14,25,0,0,0,4.48
2,2025-03-15,10,0,0,0,4.48
2,2025-03-16,5,0,0,0,4.48
2,2025-03-17,15,0,0,0,4.48
2,2025-03-18,6,0,0,0,4.48
2,2025-03-19,6,0,0,0,4.48
2,2025-03-20,0,0,0,0,4.48
2,2025-03-21,0,0,0,0,4.48
2,2025-03-22,13,1,0,0,4.48
2,2025-03-23,0,0,0,0,4.48
2,2025-03-24,0,0,0,0,4.48
2,2025-03-25,11,0,0,0,4.48
2,2025-03-26,0,0,0,0,4.48
2,2025-03-27,21,0,0,0,4.48
2,2025-03-28,4,0,0,0,4.48
2,2025-03-29,9,0,0,0,4.48
2,2025-03-30,0,0,0,0,4.48
2,2025-03-31,0,0,0,0,4.48
3,2025-01-01,16,0,0,0,4.19
3,2025-01-02,22,0,0,0,4.19
3,2025-01-03,20,0,0,0,4.19
3,2025-01-04,18,0,0,0,4.19
3,2025-01-05,16,0,0,0,4.19
3,2025-01-06,21,0,0,0,4.19
3,2025-01-07,8,0,0,0,4.19
3,2025-01-08,4,0,0,0,4.19
3,2025-01-09,13,0,0,0,4.19
3,2025-01-10,25,0,0,0,4.19
3,2025-01-11,24,0,0,0,4.19
3,2025-01-12,18,0,0,0,4.19
3,2025-01-13,14,0,0,0,4.19
3,2025-01-14,22,0,0,0,4.19
3,2025-01-15,4,0,0,0,4.19
3,2025-01-16,7,0,0,0,4.19
3,2025-01-17,13,0,0,0,4.19
3,2025-01-18,1,0,0,0,4.19
3,2025-01-19,8,1,0,0,4.19
3,2025-01-20,0,0,0,0,4.19
3,2025-01-21,0,0,0,0,4.19
